60358341.600000,21286092.212280,10-LUBM,Apache Jena
83851662.400000,23789378.592732,20-LUBM,Apache Jena
128437794.500000,40562323.332716,30-LUBM,Apache Jena
164734897.600000,25237196.087353,40-LUBM,Apache Jena
230385483.100000,40581228.031955,50-LUBM,Apache Jena
284207777.000000,53395875.842732,60-LUBM,Apache Jena
301743035.200000,37496423.141096,70-LUBM,Apache Jena
349812840.500000,41381162.740518,80-LUBM,Apache Jena
380128726.400000,38475223.864650,90-LUBM,Apache Jena
435053330.000000,59221073.873625,100-LUBM,Apache Jena
