72227294231.33333,709802872.4989779,10-LUBM,pySHACL
156335620698.66666,2502151703.6152105,20-LUBM,pySHACL
231000240268.66666,4972887556.545448,30-LUBM,pySHACL
313401213308.6667,2412270824.6502337,40-LUBM,pySHACL
389451736812,3909651071.8761444,50-LUBM,pySHACL
471269839295.6667,9067295822.944654,60-LUBM,pySHACL
552543235410.6666,11922941644.934412,70-LUBM,pySHACL
615602551668.3334,18456693416.4172,80-LUBM,pySHACL
722254013569.3334,28690507111.50049,90-LUBM,pySHACL
790182807948,11481034151.588541,100-LUBM,pySHACL
