39364284189,77216694.7145089,10-LUBM,pyrudof
86224080358.66667,119771510.31450349,20-LUBM,pyrudof
130380095812.66667,385391373.8747604,30-LUBM,pyrudof
176758188287.66666,191630350.76486832,40-LUBM,pyrudof
223838878585.33334,191182941.82549322,50-LUBM,pyrudof
272363359645.66666,421775320.9450891,60-LUBM,pyrudof
321404437669.6667,747007566.6650373,70-LUBM,pyrudof
370052942082.6667,1499401877.8213706,80-LUBM,pyrudof
417365838805,1418761508.081455,90-LUBM,pyrudof
466713750335,238721419.64140403,100-LUBM,pyrudof
