85742100.800000,37421294.871772,10-LUBM,TopQuadrant
160065658.100000,33833742.410644,20-LUBM,TopQuadrant
188589758.300000,18381522.319763,30-LUBM,TopQuadrant
261085365.500000,41596799.960151,40-LUBM,TopQuadrant
300918326.800000,32378913.596515,50-LUBM,TopQuadrant
392302629.600000,34618442.059414,60-LUBM,TopQuadrant
445885140.200000,22417113.319765,70-LUBM,TopQuadrant
516398126.700000,35304233.000784,80-LUBM,TopQuadrant
567326817.300000,45551998.657852,90-LUBM,TopQuadrant
625072802.600000,36526871.033687,100-LUBM,TopQuadrant
