18290619.800000,2548508.131345,10-lubm,topquadrant
20236619.100000,1765181.345840,20-lubm,topquadrant
19488468.400000,837686.711581,30-lubm,topquadrant
24612874.800000,518900.221938,40-lubm,topquadrant
31493752.800000,655218.869948,50-lubm,topquadrant
37523842.900000,834507.516180,60-lubm,topquadrant
57595263.800000,32576635.173552,70-lubm,topquadrant
57706743.800000,4996516.485068,80-lubm,topquadrant
57582546.000000,1142738.138783,90-lubm,topquadrant
81316570.600000,40710605.526765,100-lubm,topquadrant
