49407722.000000,14582882.564078,10-LUBM,Apache Jena
60899856.200000,22695808.736625,20-LUBM,Apache Jena
77244755.200000,13406147.769608,30-LUBM,Apache Jena
99790292.700000,37393877.318108,40-LUBM,Apache Jena
145683500.600000,23484270.968338,50-LUBM,Apache Jena
165595200.600000,38684088.555124,60-LUBM,Apache Jena
203349747.400000,49646115.484054,70-LUBM,Apache Jena
197326265.200000,33056122.252358,80-LUBM,Apache Jena
217777275.000000,35100311.742346,90-LUBM,Apache Jena
252967806.900000,52900735.691695,100-LUBM,Apache Jena
