71613114740,873663702.3815498,10-LUBM,pySHACL
154374116340.66666,2415348333.4153686,20-LUBM,pySHACL
227676474993,3726426648.8513775,30-LUBM,pySHACL
306778122957.3333,6546735239.7502775,40-LUBM,pySHACL
388731226926,4996140551.890632,50-LUBM,pySHACL
468482407747,5615385918.859094,60-LUBM,pySHACL
543902838828,9547267126.14905,70-LUBM,pySHACL
629343395903.6666,7611043270.610878,80-LUBM,pySHACL
716453475651.3334,18589760493.138626,90-LUBM,pySHACL
782666228806.3334,8585993274.913605,100-LUBM,pySHACL
